7zip 26.02-1
kdeconnect 26.08.0-1
keyutils 1.6.3-4
kglobalaccel 6.29.0-1
kguiaddons 6.29.0-1
ki18n 6.29.0-1
kicad-library-3d 10.0.6-1
kiconthemes 6.29.0-1
kio 6.29.0-2
kirigami 6.29.0-1
kirigami-addons 1.13.1-1
kitemmodels 6.29.0-1
kitemviews 6.29.0-1
kjobwidgets 6.29.0-1
kmod 34.2-1
knotifications 6.29.0-1
kparts 6.29.0-1
kpeople 6.29.0-1
krb5 1.22.2-1
kservice 6.29.0-1
kstatusnotifieritem 6.29.0-1
ksvg 6.29.0-1
ktextwidgets 6.29.0-1
kwallet 6.29.0-1
kwidgetsaddons 6.29.0-1
kwindowsystem 6.29.0-1
kxmlgui 6.29.0-1
l-smash 2.14.5-4
lame 4.0-1
lcms2 2.19.1-1
ldb 2:4.24.6-1
leancrypto 1.8.0-1
less 1:704-1
libabw 0.1.4-1
libaccounts-glib 1.27-3
libaccounts-qt 1.17-2
libadwaita 1:1.9.3-1
libaio 0.3.113-5
libao 1.2.2-7
libappindicator 12.10.1-2
libarchive 3.8.9-1
libasan 16.2.1+r23+gd564253eb6c8-1
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.2.1+r23+gd564253eb6c8-1
libatomic_ops 7.8.2-2
libavc1394 0.5.4-7
libavif 1.4.2-1
libavtp 0.2.0-3
libayatana-appindicator 0.6.0-2
libayatana-indicator 0.9.5-1
libb2 0.98.1-3
libblake3 1.8.7-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.5.0-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcaca 0.99.beta20-7
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.5-1
libcdio 2.4.0-1
libcdio-paranoia 10.2+2.0.2-3
libcdr 0.1.9-1
libcgif 0.5.3-1
libcloudproviders 0.4.1-1
libcmis 0.6.3-2
libcolord 1.4.8-1
libcups 2:2.4.19-1
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-2
libdbusmenu-gtk3 18.10.20180917-2
libdc1394 2.2.7-2
libdca 0.0.7-3
libde265 1.1.1-1
libdecor 0.2.5-1
libdeflate 1.26-1
libdisplay-info 0.3.0-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdv 1.0.0-12
libdvdcss 1.6.0-1
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libdwarf 1:2.3.2-1
libe-book 0.1.4-1
libebml 1.4.5-3
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.196-1
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-3
libevdev 1.13.7-1
libevent 2.1.13-2
libexif 0.6.26-1
libexttextcat 3.4.8-1
libfakekey 0.3-4
libfdk-aac 2.0.3-2
libffi 3.8.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfreehand 0.1.3-1
libfyaml 0.9.6-3
libgcc 16.2.1+r23+gd564253eb6c8-1
libgcrypt 1.12.3-1
libgedit-amtk 5.10.0-1
libgedit-gfls 1:0.4.2-1
libgedit-gtksourceview 299.7.1-1
libgedit-tepl 6.14.0-2
libgfortran 16.2.1+r23+gd564253eb6c8-1
libgirepository 1.86.0-2
libgit2 1:1.9.7-1
libglvnd 1.7.0-3
